"","lat","lon","time","group","day"
"57",-37.8231801,144.9704434,12.2783333332918,1,17718
"58",-37.8221562,144.9691129,12.3154147222231,1,17718
"59",-37.8218841,144.9690551,12.3264083333488,1,17718
"60",-37.8224599,144.9693708,12.3335855555197,1,17718
"61",-37.8223999,144.9694619,12.3405555555655,1,17718
"62",-37.8226067,144.969195,12.3449933333322,1,17718
"63",-37.8225176,144.9692072,12.384314166673,1,17718
"64",-37.8225176,144.9692072,12.4248347222456,1,17718
"65",-37.8222075,144.96891,12.465580555523,1,17718
"66",-37.8226415,144.9689482,12.4953544444579,1,17718
"67",-37.8226125,144.9689582,12.5306627778045,1,17718
"68",-37.8226254,144.9689943,12.5702569444838,1,17718
"69",-37.8230421,144.9690246,12.638647222193,1,17718
"70",-37.8229962,144.9690536,12.6458972222463,1,17718
"71",-37.8229859,144.9690355,12.655077500036,1,17718
"72",-37.8229836,144.9690319,12.6691622222424,1,17718
"73",-37.8229844,144.9690405,12.6821647221805,1,17718
"74",-37.8229834,144.9690427,12.6922438888869,1,17718
"75",-37.8229865,144.969041,12.7008047222043,1,17718
"76",-37.8229845,144.9690416,12.7347091666597,1,17718
"77",-37.8229774,144.9690355,12.7680436111405,1,17718
"79",-37.8230053,144.9689732,12.8441613889008,1,17718
"80",-37.8229685,144.9689871,12.8673530555388,1,17718
"81",-37.823002,144.9689931,12.875699999975,1,17718
"82",-37.8230699,144.9689454,12.9164172222372,1,17718
"83",-37.822995,144.9690451,12.9232572221954,1,17718
"84",-37.8229842,144.9690244,12.939322500024,1,17718
"85",-37.8229666,144.9690324,12.9504738888645,1,17718
"86",-37.8230381,144.9689517,12.9563497222553,1,17718
"87",-37.8230381,144.9689517,12.9619138888957,1,17718
"88",-37.8229553,144.9689794,12.9718155555311,1,17718
"89",-37.8230572,144.9689611,12.9924475000007,1,17718
"91",-37.8230221,144.9689574,13.0302555555827,1,17718
"92",-37.8230532,144.9689737,13.0530699999945,1,17718
"93",-37.8229021,144.9690623,13.0643630555714,1,17718
"94",-37.8228962,144.9691593,13.0885586111399,1,17718
"95",-37.822997,144.969045,13.0995349999866,1,17718
"96",-37.8231478,144.9689818,13.1349127777503,1,17718
"97",-37.8231303,144.9690503,13.1785502777784,1,17718
"98",-37.8230031,144.9690653,13.1896797221852,1,17718
"99",-37.8230886,144.9690277,13.1982511111128,1,17718
"100",-37.8230094,144.969046,13.2081338888675,1,17718
"101",-37.8229845,144.9690508,13.213621666684,1,17718
"103",-37.8230176,144.9692107,13.2539924999874,1,17718
"104",-37.8229908,144.969046,13.2741700000188,1,17718
"105",-37.8229895,144.9690456,13.2852847222239,1,17718
"106",-37.8233054,144.9691673,13.3241469444474,1,17718
"107",-37.8232915,144.9691009,13.35304972218,1,17718
"108",-37.8232952,144.9690742,13.3635994444776,1,17718
"109",-37.8233009,144.9690814,13.392591666634,1,17718
"110",-37.8232972,144.9690505,13.3986408333294,1,17718
"111",-37.8233206,144.9691498,13.4298269444262,1,17718
"112",-37.8233062,144.9691671,13.4445005555754,1,17718
"113",-37.8233068,144.9692025,13.4820038889011,1,17718
"114",-37.8232992,144.9692176,13.4906575000205,1,17718
"115",-37.8232999,144.9692381,13.5019633333723,1,17718
"116",-37.8232931,144.9692591,13.5244794444588,1,17718
"118",-37.8233009,144.9692367,13.550125000038,1,17718
"119",-37.8233097,144.9691843,13.5616147222172,1,17718
"120",-37.8232928,144.9692516,13.569058611145,1,17718
"121",-37.8232387,144.9691959,13.5757080555195,1,17718
"122",-37.8232584,144.969214,13.5898552777362,1,17718
"123",-37.8233021,144.9692398,13.6235769444029,1,17718
"124",-37.8233038,144.9692736,13.6572047222289,1,17718
"125",-37.8233064,144.9692431,13.6908272222499,1,17718
"126",-37.8233159,144.96923,13.7107405555143,1,17718
"127",-37.8232981,144.9692483,13.724757222255,1,17718
"128",-37.8232945,144.969257,13.735885833361,1,17718
"129",-37.8232938,144.9692616,13.7498886111134,1,17718
"130",-37.8232953,144.9692559,13.7710341666534,1,17718
"131",-37.8232947,144.9692554,13.7821533333627,1,17718
"132",-37.8233078,144.9692297,13.7903158333211,1,17718
"133",-37.8232922,144.9692641,13.8048983333574,1,17718
"134",-37.8232969,144.9692611,13.8160224999592,1,17718
"135",-37.8232859,144.9692687,13.8430705555656,1,17718
"136",-37.8232988,144.9692779,13.8531052777544,1,17718
"137",-37.823258,144.9692701,13.8759791666234,1,17718
"138",-37.8232377,144.9692575,13.880927222257,1,17718
"139",-37.8231762,144.9691829,13.8984891666914,1,17718
"140",-37.8231565,144.9691845,13.9096019444696,1,17718
"141",-37.8231391,144.9691846,13.9180972222239,1,17718
"142",-37.8231391,144.9691844,13.940653888887,1,17718
"143",-37.8230699,144.9691504,13.9517694444803,1,17718
"147",-37.8230591,144.9691465,13.9577499999723,1,17718
"149",-37.8231327,144.9691559,13.9688644444395,1,17718
"150",-37.8230544,144.9691468,13.9877716666961,1,17718
"151",-37.823053,144.9691464,13.9988891666289,1,17718
"152",-37.8230541,144.9691457,14.010015277745,1,17718
"154",-37.8230577,144.9691482,14.0245049999794,1,17718
"155",-37.8230532,144.9691459,14.0303327777365,1,17718
"156",-37.8230441,144.9691445,14.0353572221939,1,17718
"157",-37.8230536,144.969146,14.0485241666902,1,17718
"159",-37.8230533,144.9691487,14.0593694444105,1,17718
"160",-37.8230524,144.9691494,14.0652116666315,1,17718
"161",-37.8230455,144.9691448,14.0727930555295,1,17718
"162",-37.8230158,144.9691336,14.0819016666501,1,17718
